happyBlockFile,correctAns,image,percentSelf,neutralBlockFile,sadBlockFile,HappyBlockLoop2.thisRepN,HappyBlockLoop2.thisTrialN,HappyBlockLoop2.thisN,HappyBlockLoop2.thisIndex,happyImageBlock2.thisRepN,happyImageBlock2.thisTrialN,happyImageBlock2.thisN,happyImageBlock2.thisIndex,NeutralBlockLoop2.thisRepN,NeutralBlockLoop2.thisTrialN,NeutralBlockLoop2.thisN,NeutralBlockLoop2.thisIndex,neutralImageBlock2.thisRepN,neutralImageBlock2.thisTrialN,neutralImageBlock2.thisN,neutralImageBlock2.thisIndex,SadBlockLoop2.thisRepN,SadBlockLoop2.thisTrialN,SadBlockLoop2.thisN,SadBlockLoop2.thisIndex,sadImageBlock2.thisRepN,sadImageBlock2.thisTrialN,sadImageBlock2.thisN,sadImageBlock2.thisIndex,response.keys,response.corr,response.rt,date,frameRate,expName,session,participant,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha01.jpg,1,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,1,1,0.803750710911,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha03.jpg,0.9,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,1,1,0.573579136864,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha01.jpg,1,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1,1,0.50746340616,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha06.jpg,0.75,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1,1,0.507510339114,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,2,CurrentSubject2/ha19.jpg,0.1,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2,1,0.724428473943,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha06.jpg,0.75,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,1,1,0.807885930757,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha05.jpg,0.8,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,1,1,0.941057757824,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha02.jpg,0.95,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,1,1,0.891041309951,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha08.jpg,0.65,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,1,1,0.507073862653,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha01.jpg,1,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,1,1,0.974374181067,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,2,CurrentSubject2/ha17.jpg,0.2,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,2,1,0.757872469519,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha04.jpg,0.85,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,1,1,0.74132305698,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha08.jpg,0.65,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,1,1,0.608024084271,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,1,CurrentSubject2/ha04.jpg,0.85,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,1,1,0.874431311269,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock5.xlsx,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,2,CurrentSubject2/ha21.jpg,0,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,2,1,0.814640435972,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,2,CurrentSubject2/ha20.jpg,0.05,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,2,1,0.707351705729,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,2,CurrentSubject2/ha19.jpg,0.1,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,2,1,0.641230428417,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,2,CurrentSubject2/ha15.jpg,0.3,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,2,1,0.891174855526,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,2,CurrentSubject2/ha19.jpg,0.1,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,2,1,0.807838997775,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
HappyBlocks\HappyBlock7.xlsx,1,CurrentSubject2/ha03.jpg,0.9,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,1,1,0.541113906715,2017_Jun_16_1401,59.9248564344,ESOM_task_v1_nocontrol,001,3046,
